2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2300: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2325: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2350: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2375: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2400: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2425: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2450: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2475: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2500: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2525: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2550: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2575: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2600: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
